,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
144,The Physician,(2013),R,155 min,"Adventure, Drama, History",7.2,-,"In 11th-century Persia, a surgeon's apprentice disguises himself as a Jew to study at a school that does not admit Christians.",['Philipp Stölzl'],"['Tom Payne', 'Stellan Skarsgård', 'Olivier Martinez', 'Emma Catherine Rigby']","40,650",-
145,Che: Part One,(2008),Not Rated,134 min,"Biography, Drama, History",7.2,-,"In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.",['Steven Soderbergh'],"['Julia Ormond', 'Benicio Del Toro', 'Oscar Isaac', 'Pablo Guevara']","47,062",$1.80M
146,Russian Ark,(2002),Not Rated,99 min,"Drama, Fantasy, History",7.2,87        ,"A 19th century French aristocrat, notorious for his scathing memoirs about life in Russia, travels through the Russian State Hermitage Museum and encounters historical figures from the last 200+ years.",['Aleksandr Sokurov'],"['Sergey Dreyden', 'Mariya Kuznetsova', 'Leonid Mozgovoy', 'Mikhail Piotrovsky']","21,138",$0.04M
147,Mongol: The Rise of Genghis Khan,(2007),R,126 min,"Action, Biography, Drama",7.2,74        ,The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,['Sergei Bodrov'],"['Tadanobu Asano', 'Amadu Mamadakov', 'Khulan Chuluun', 'Honglei Sun']","47,974",$5.70M
148,Silence,(I) (2016),R,161 min,"Drama, History",7.1,79        ,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",['Martin Scorsese'],"['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano']","116,869",$7.10M
149,We Were Soldiers,(2002),R,138 min,"Action, Drama, History",7.1,65        ,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",['Randall Wallace'],"['Mel Gibson', 'Madeleine Stowe', 'Greg Kinnear', 'Sam Elliott']","146,625",$78.12M
150,Deepwater Horizon,(2016),PG-13,107 min,"Action, Drama, History",7.1,68        ,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",['Peter Berg'],"['Mark Wahlberg', 'Kurt Russell', 'Douglas M. Griffin', 'James DuMont']","174,381",$61.43M
151,Flags of Our Fathers,(2006),R,135 min,"Action, Adventure, Drama",7.1,79        ,"The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.",['Clint Eastwood'],"['Ryan Phillippe', 'Barry Pepper', 'Joseph Cross', 'Jesse Bradford']","126,244",$33.60M
152,Valkyrie,(2008),PG-13,121 min,"Drama, History, Thriller",7.1,56        ,"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",['Bryan Singer'],"['Tom Cruise', 'Bill Nighy', 'Carice van Houten', 'Kenneth Branagh']","250,973",$83.08M
153,Shakespeare in Love,(1998),R,123 min,"Comedy, Drama, History",7.1,87        ,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",['John Madden'],"['Gwyneth Paltrow', 'Joseph Fiennes', 'Geoffrey Rush', 'Tom Wilkinson']","229,444",$100.32M
154,The Dig,(2021),PG-13,112 min,"Biography, Drama, History",7.1,73        ,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,['Simon Stone'],"['Carey Mulligan', 'Ralph Fiennes', 'Lily James', 'Johnny Flynn']","78,437",-
155,Defiance,(I) (2008),R,137 min,"Action, Drama, History",7.1,58        ,"Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",['Edward Zwick'],"['Daniel Craig', 'Liev Schreiber', 'Jamie Bell', 'Alexa Davalos']","152,090",$28.64M
156,Seven Years in Tibet,(1997),PG-13,136 min,"Adventure, Biography, Drama",7.1,55        ,"True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.",['Jean-Jacques Annaud'],"['Brad Pitt', 'David Thewlis', 'BD Wong', 'Mako']","149,619",$37.96M
157,Megan Leavey,(2017),PG-13,116 min,"Action, Biography, Drama",7.1,66        ,Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.,['Gabriela Cowperthwaite'],"['Kate Mara', 'Ramón Rodríguez', 'Tom Felton', 'Bradley Whitford']","25,056",$13.41M
158,Agora,(2009),R,127 min,"Adventure, Biography, Drama",7.1,55        ,"A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria.",['Alejandro Amenábar'],"['Rachel Weisz', 'Max Minghella', 'Oscar Isaac', 'Ashraf Barhom']","71,441",$0.62M
159,Kon-Tiki,(2012),PG-13,118 min,"Action, Adventure, Biography",7.1,62        ,"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","['Joachim Rønning', 'Espen Sandberg']","['Pål Sverre Hagen', 'Anders Baasmo', 'Gustaf Skarsgård', 'Odd-Magnus Williamson']","50,512",$1.52M
160,Balto,(1995),G,78 min,"Animation, Adventure, Drama",7.1,-,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",['Simon Wells'],"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']","45,892",$11.35M
161,Silkwood,(1983),R,131 min,"Biography, Drama, History",7.1,64        ,"A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",['Mike Nichols'],"['Meryl Streep', 'Kurt Russell', 'Cher', 'Craig T. Nelson']","21,282",$35.62M
162,Nixon,(1995),R,192 min,"Biography, Drama, History",7.1,66        ,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",['Oliver Stone'],"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']","31,875",$13.56M
163,Shattered Glass,(2003),PG-13,94 min,"Drama, History",7.1,73        ,The story of a young journalist who fell from grace when it was discovered he fabricated over half of his articles from the publication The New Republic magazine.,['Billy Ray'],"['Hayden Christensen', 'Chloë Sevigny', 'Steve Zahn', 'Peter Sarsgaard']","36,516",$2.22M
