,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
152,Tanhaji: The Unsung Warrior,(2020),Not Rated,135 min,"Action, Biography, Drama",7.5,-,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",['Om Raut'],"['Ajay Devgn', 'Saif Ali Khan', 'Sharad Kelkar', 'Kajol']","34,277",-
153,Mesrine: Killer Instinct,(2008),R,113 min,"Action, Biography, Crime",7.5,71        ,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life before the early 1970s and the events that led to him being declared Public Enemy No. 1 in France.",['Jean-François Richet'],"['Vincent Cassel', 'Cécile de France', 'Gérard Depardieu', 'Gilles Lellouche']","34,571",$0.55M
154,Tetris,(2023),R,118 min,"Biography, Drama, History",7.4,61        ,"The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.",['Jon S. Baird'],"['Taron Egerton', 'Mara Huf', 'Miles Barrow', 'Rick Yune']","52,467",-
155,Darkest Hour,(2017),PG-13,125 min,"Biography, Drama, War",7.4,75        ,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",['Joe Wright'],"['Gary Oldman', 'Lily James', 'Kristin Scott Thomas', 'Ben Mendelsohn']","209,730",$56.47M
156,Erin Brockovich,(2000),R,131 min,"Biography, Drama",7.4,73        ,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,['Steven Soderbergh'],"['Julia Roberts', 'Albert Finney', 'David Brisbin', 'Dawn Didawick']","207,303",$125.60M
157,The Mauritanian,(2021),R,129 min,"Biography, Drama, Thriller",7.4,53        ,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,['Kevin Macdonald'],"['Tahar Rahim', 'Nouhe Hamady Bari', 'Saadna Hamoud', 'Mohamed Yeslem Mousse']","55,607",-
158,Sully,(2016),PG-13,96 min,"Biography, Drama",7.4,74        ,"When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",['Clint Eastwood'],"['Tom Hanks', 'Aaron Eckhart', 'Laura Linney', 'Valerie Mahaffey']","283,320",$125.07M
159,Molly's Game,(2017),R,140 min,"Biography, Crime, Drama",7.4,71        ,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",['Aaron Sorkin'],"['Jessica Chastain', 'Idris Elba', 'Kevin Costner', 'Michael Cera']","179,428",$28.78M
160,The Swimmers,(2022),PG-13,134 min,"Biography, Drama, Sport",7.4,62        ,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.",['Sally El Hosaini'],"['Matthias Schweighöfer', 'Ali Suliman', 'Manal Issa', 'James Krishna Floyd']","30,364",-
161,A Hidden Life,(2019),PG-13,174 min,"Biography, Drama, Romance",7.4,78        ,"The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.",['Terrence Malick'],"['August Diehl', 'Valerie Pachner', 'Maria Simon', 'Karin Neuhäuser']","26,023",-
162,Judas and the Black Messiah,(2021),R,126 min,"Biography, Drama, History",7.4,85        ,"Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.",['Shaka King'],"['LaKeith Stanfield', 'Daniel Kaluuya', 'Jesse Plemons', 'Dominique Fishback']","85,642",-
163,Miracle,(2004),PG,135 min,"Biography, Drama, History",7.4,68        ,"The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.","[""Gavin O'Connor""]","['Kurt Russell', 'Patricia Clarkson', 'Nathan West', 'Noah Emmerich']","56,565",$64.38M
164,Elizabeth,(1998),R,124 min,"Biography, Drama, History",7.4,75        ,The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.,['Shekhar Kapur'],"['Cate Blanchett', 'Liz Giles', 'Rod Culbertson', 'Paul Fox']","102,297",$30.08M
165,"Good Night, and Good Luck.",(2005),PG,93 min,"Biography, Drama, History",7.4,80        ,Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,['George Clooney'],"['David Strathairn', 'George Clooney', 'Patricia Clarkson', 'Jeff Daniels']","99,592",$31.50M
166,"McFarland, USA",(2015),PG,129 min,"Biography, Drama, Sport",7.4,60        ,"Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.",['Niki Caro'],"['Kevin Costner', 'Maria Bello', 'Ramiro Rodriguez', 'Carlos Pratts']","40,417",$44.47M
167,Man on the Moon,(1999),R,118 min,"Biography, Comedy, Drama",7.4,58        ,The life and career of legendary comedian Andy Kaufman.,['Milos Forman'],"['Jim Carrey', 'Danny DeVito', 'Gerry Becker', 'Greyson Erik Pendry']","134,024",$34.58M
168,The Greatest Game Ever Played,(2005),PG,120 min,"Biography, Drama, Sport",7.4,55        ,"In the 1913 U.S. Open, twenty-year-old Francis Ouimet played golf against his idol, 1900 U.S. Open champion, Englishman Harry Vardon.",['Bill Paxton'],"['Shia LaBeouf', 'Stephen Dillane', 'Elias Koteas', 'James Paxton']","32,099",$15.33M
