,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
163,An American Tail: Fievel Goes West,(1991),G,75 min,"Animation, Adventure, Family",6.5,-,"Fievel's family decides to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat.","['Phil Nibbelink', 'Simon Wells']","['James Stewart', 'John Cleese', 'Amy Irving', 'Phillip Glasser']","27,301",$22.17M
164,The Lorax,(2012),PG,86 min,"Animation, Adventure, Comedy",6.4,46        ,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","['Chris Renaud', 'Kyle Balda']","['Zac Efron', 'Taylor Swift', 'Danny DeVito', 'Ed Helms']","121,138",$214.03M
165,Trolls,(2016),PG,92 min,"Animation, Adventure, Comedy",6.4,55        ,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","['Mike Mitchell', 'Walt Dohrn']","['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel', 'Christopher Mintz-Plasse']","86,081",$153.71M
166,Burlesque,(I) (2010),PG-13,119 min,"Drama, Music, Musical",6.4,47        ,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,['Steve Antin'],"['Cher', 'Christina Aguilera', 'Alan Cumming', 'Eric Dane']","89,552",$39.44M
167,Happy Feet,(2006),PG,108 min,"Animation, Adventure, Comedy",6.4,77        ,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","['George Miller', 'Warren Coleman', 'Judy Morris']","['Elijah Wood', 'Brittany Murphy', 'Hugh Jackman', 'Robin Williams']","192,806",$198.00M
168,The Grinch,(2018),PG,85 min,"Animation, Comedy, Family",6.4,51        ,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,"['Yarrow Cheney', 'Scott Mosier']","['Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones', 'Pharrell Williams']","78,108",$270.62M
169,The Swan Princess,(1994),G,90 min,"Animation, Adventure, Comedy",6.4,70        ,A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.,['Richard Rich'],"['Jack Palance', 'Howard McGillin', 'Michelle Nicastro', 'Liz Callaway']","26,031",$9.77M
170,Repo! The Genetic Opera,(2008),R,98 min,"Horror, Musical, Sci-Fi",6.4,32        ,"A worldwide epidemic encourages a biotech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer, however.",['Darren Lynn Bousman'],"['Paul Sorvino', 'Anthony Head', 'Alexa PenaVega', 'Sarah Brightman']","25,789",$0.14M
171,Muppets Most Wanted,(2014),PG,107 min,"Adventure, Comedy, Crime",6.4,61        ,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",['James Bobin'],"['Ricky Gervais', 'Ty Burrell', 'Tina Fey', 'Steve Whitmire']","35,862",$51.18M
172,RamLeela,(2013),Not Rated,150 min,"Drama, Musical, Romance",6.4,-,"Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",['Sanjay Leela Bhansali'],"['Ranveer Singh', 'Deepika Padukone', 'Supriya Pathak', 'Sharad Kelkar']","21,504",$2.67M
173,Rio 2,(2014),G,101 min,"Animation, Adventure, Comedy",6.3,49        ,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",['Carlos Saldanha'],"['Jesse Eisenberg', 'Anne Hathaway', 'Jemaine Clement', 'Andy Garcia']","95,228",$131.54M
174,The Producers,(2005),PG-13,134 min,"Comedy, Crime, Musical",6.3,52        ,"After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",['Susan Stroman'],"['Nathan Lane', 'Matthew Broderick', 'Uma Thurman', 'Will Ferrell']","43,709",$19.38M
175,Annette,(2021),R,141 min,"Drama, Musical, Romance",6.3,67        ,A stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift.,['Leos Carax'],"['Adam Driver', 'Marion Cotillard', 'Simon Helberg', 'Devyn McDowell']","21,261",-
176,Pete's Dragon,(1977),G,128 min,"Animation, Adventure, Comedy",6.3,46        ,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,"['Don Chaffey', 'Don Bluth']","['Sean Marshall', 'Helen Reddy', 'Jim Dale', 'Mickey Rooney']","25,620",$40.10M
177,Over the Moon,(2020),PG,95 min,"Animation, Adventure, Comedy",6.3,60        ,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.","['Glen Keane', 'John Kahrs']","['Glen Keane', 'Brycen Hall', 'Ruthie Ann Miles', 'John Cho']","23,747",-
178,Evita,(1996),PG,135 min,"Biography, Drama, History",6.3,45        ,"The hit musical based on the life of Eva Perón (Evita Duarte), a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Domingo Perón, and the most beloved and hated woman in Argentina.",['Alan Parker'],"['Madonna', 'Jonathan Pryce', 'Antonio Banderas', 'Jimmy Nail']","36,630",$50.05M
179,Lady and the Tramp,(2019),PG,111 min,"Adventure, Comedy, Family",6.2,48        ,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,['Charlie Bean'],"['Tessa Thompson', 'Justin Theroux', 'Sam Elliott', 'Ashley Jensen']","23,152",-
180,Bride & Prejudice,(2004),PG-13,122 min,"Comedy, Drama, Musical",6.2,55        ,"A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family.",['Gurinder Chadha'],"['Martin Henderson', 'Aishwarya Rai Bachchan', 'Nadira Babbar', 'Anupam Kher']","21,298",$6.60M
181,Trolls World Tour,(2020),PG,91 min,"Animation, Adventure, Comedy",6.1,51        ,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","['Walt Dohrn', 'David P. Smith']","['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom', 'James Corden']","25,341",-
182,Into the Woods,(2014),PG,125 min,"Adventure, Comedy, Drama",5.9,69        ,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,['Rob Marshall'],"['Anna Kendrick', 'Meryl Streep', 'Chris Pine', 'Emily Blunt']","144,484",$128.00M
183,Rock of Ages,(2012),PG-13,123 min,"Comedy, Drama, Musical",5.9,47        ,A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,['Adam Shankman'],"['Julianne Hough', 'Diego Boneta', 'Tom Cruise', 'Alec Baldwin']","80,023",$38.52M
184,The Prom,(2020),PG-13,130 min,"Comedy, Drama, Musical",5.9,55        ,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high-school girl who wants to take her girlfriend to the prom.,['Ryan Murphy'],"['Meryl Streep', 'James Corden', 'Nicole Kidman', 'Kerry Washington']","28,260",-
185,Gnomeo & Juliet,(2011),G,84 min,"Animation, Adventure, Comedy",5.9,53        ,"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?",['Kelly Asbury'],"['James McAvoy', 'Emily Blunt', 'Maggie Smith', 'Ashley Jensen']","57,635",$99.97M
186,Isn't It Romantic,(2019),PG-13,89 min,"Comedy, Fantasy, Musical",5.9,60        ,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,['Todd Strauss-Schulson'],"['Rebel Wilson', 'Liam Hemsworth', 'Adam Devine', 'Priyanka Chopra Jonas']","71,863",$48.79M
187,The Rugrats Movie,(1998),G,79 min,"Animation, Adventure, Comedy",5.9,62        ,The babies gets lost in the forest after Tommy Pickles gets a new baby brother.,"['Igor Kovalyov', 'Norton Virgien']","['Elizabeth Daily', 'Christine Cavanaugh', 'Kath Soucie', 'Melanie Chartoff']","20,067",$100.49M
188,Nine,(2009),PG-13,118 min,"Drama, Musical, Romance",5.8,49        ,"Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.",['Rob Marshall'],"['Daniel Day-Lewis', 'Marion Cotillard', 'Penélope Cruz', 'Sandro Dori']","44,616",$24.00M
189,Happy Feet Two,(2011),PG,100 min,"Animation, Adventure, Comedy",5.8,50        ,"Mumble's son, Erik, is struggling to realize his talents in the Emperor Penguin world. Meanwhile, Mumble and his family and friends discover a new threat their home -- one that will take everyone working together to save them.","['George Miller', 'Gary Eck', 'David Peers']","['Elijah Wood', 'Robin Williams', 'Pink', 'Carlos Alazraqui']","46,306",$64.01M
190,Raise Your Voice,(2004),PG,103 min,"Family, Music, Musical",5.8,33        ,A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.,['Sean McNamara'],"['Hilary Duff', 'John Corbett', 'Rebecca De Mornay', 'Oliver James']","28,421",$10.41M
