,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
159,She's the Man,(2006),PG-13,105 min,"Comedy, Romance, Sport",6.3,45        ,"When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",['Andy Fickman'],"['Amanda Bynes', 'Laura Ramsey', 'Channing Tatum', 'Vinnie Jones']","166,571",$2.34M
160,Blades of Glory,(2006),PG-13,93 min,"Comedy, Sport",6.3,64        ,"In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.","['Josh Gordon', 'Will Speck']","['Will Ferrell', 'Jon Heder', 'Amy Poehler', 'Will Arnett']","173,270",$118.59M
161,Stick It,(2006),PG-13,103 min,"Comedy, Drama, Sport",6.3,53        ,"After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit.",['Jessica Bendinger'],"['Missy Peregrym', 'Jeff Bridges', 'Vanessa Lengies', 'Nikki SooHoo']","29,758",$26.87M
162,Wimbledon,(2004),PG-13,98 min,"Comedy, Romance, Sport",6.3,59        ,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",['Richard Loncraine'],"['Kirsten Dunst', 'Paul Bettany', 'Jon Favreau', 'Sam Neill']","65,323",$17.00M
163,Cars 2,(2011),G,106 min,"Animation, Adventure, Comedy",6.2,57        ,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['John Lasseter', 'Bradford Lewis']","['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer']","201,478",$191.45M
164,The Karate Kid,(2010),PG,140 min,"Action, Drama, Family",6.2,61        ,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",['Harald Zwart'],"['Jackie Chan', 'Jaden Smith', 'Taraji P. Henson', 'Wenwen Han']","193,644",$176.59M
165,The Cannonball Run,(1981),PG,95 min,"Action, Comedy, Sport",6.2,28        ,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",['Hal Needham'],"['Burt Reynolds', 'Roger Moore', 'Farrah Fawcett', 'Dom DeLuise']","38,165",$72.18M
166,Angels in the Outfield,(1994),PG,102 min,"Comedy, Family, Fantasy",6.2,44        ,"When a boy prays for a chance to have a family if the California Angels win the pennant, angels are assigned to make that possible.",['William Dear'],"['Danny Glover', 'Brenda Fricker', 'Tony Danza', 'Christopher Lloyd']","33,244",$50.24M
167,Death Race 2000,(1975),R,80 min,"Action, Comedy, Sci-Fi",6.2,58        ,"In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.",['Paul Bartel'],"['David Carradine', 'Sylvester Stallone', 'Simone Griffeth', 'Mary Woronov']","29,261",$8.00M
168,Lionheart,(1990),R,108 min,"Action, Crime, Drama",6.2,41        ,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,['Sheldon Lettich'],"['Jean-Claude Van Damme', 'Harrison Page', 'Deborah Rennard', 'Lisa Pelikan']","37,958",$24.08M
