,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
188,The Purple Rose of Cairo,(1985),PG,82 min,"Comedy, Fantasy, Romance",7.7,75        ,"In 1935 New Jersey, a movie character walks off the screen and into the real world.",['Woody Allen'],"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman']","53,119",$10.63M
189,The Awful Truth,(1937),Passed,90 min,"Comedy, Romance",7.7,87        ,"A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.",['Leo McCarey'],"['Irene Dunne', 'Cary Grant', 'Ralph Bellamy', ""Alexander D'Arcy""]","20,523",-
190,Joyeux Noel,(2005),PG-13,116 min,"Drama, History, Music",7.7,70        ,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",['Christian Carion'],"['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet', 'Natalie Dessay']","30,791",$1.05M
191,The Lady Eve,(1941),Passed,94 min,"Comedy, Romance",7.7,96        ,"A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.",['Preston Sturges'],"['Barbara Stanwyck', 'Henry Fonda', 'Charles Coburn', 'Eugene Pallette']","22,513",-
192,Kapoor & Sons,(2016),Not Rated,132 min,"Comedy, Drama, Family",7.7,-,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,['Shakun Batra'],"['Rishi Kapoor', 'Rajat Kapoor', 'Ratna Pathak Shah', 'Fawad Khan']","27,335",$2.61M
193,Dear Frankie,(2004),PG-13,105 min,"Drama, Romance",7.7,63        ,"After having responded to her son's numerous letters in the guise of his father, a woman hires a stranger to pose as his dad when meeting him.",['Shona Auerbach'],"['Emily Mortimer', 'Jack McElhone', 'Gerard Butler', 'Mary Riggans']","22,158",$1.34M
194,Magadheera,(2009),Not Rated,147 min,"Action, Drama, Fantasy",7.7,-,"A warrior gets reincarnated 400 years later, after trying to save the princess and the kingdom, who also dies along with him. He then sets back again to fight against all odds and win back his love.",['S.S. Rajamouli'],"['Ram Charan', 'Kajal Aggarwal', 'Dev Gill', 'Srihari']","23,900",-
195,The Little Mermaid,(1989),G,83 min,"Animation, Adventure, Family",7.6,88        ,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"['Ron Clements', 'John Musker']","['Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois', 'Christopher Daniel Barnes']","276,678",$111.54M
196,Love Actually,(2003),R,135 min,"Comedy, Drama, Romance",7.6,55        ,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",['Richard Curtis'],"['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson', 'Laura Linney']","503,568",$59.70M
197,Romeo and Juliet,(1968),PG,138 min,"Drama, Romance",7.6,69        ,"When two young members of feuding families meet, forbidden love ensues.",['Franco Zeffirelli'],"['Leonard Whiting', 'Olivia Hussey', 'John McEnery', ""Milo O'Shea""]","33,544",$38.90M
