,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
213,Irreversible,(2002),Not Rated,97 min,"Crime, Drama, Mystery",7.3,51        ,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.,['Gaspar Noé'],"['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel', 'Philippe Nahon']","140,862",$0.75M
214,Identity,(2003),R,90 min,"Mystery, Thriller",7.3,64        ,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",['James Mangold'],"['John Cusack', 'Ray Liotta', 'Amanda Peet', 'John Hawkes']","256,817",$52.16M
215,Unbreakable,(2000),PG-13,106 min,"Drama, Mystery, Sci-Fi",7.3,62        ,A man learns something extraordinary about himself after a devastating accident.,['M. Night Shyamalan'],"['Bruce Willis', 'Samuel L. Jackson', 'Robin Wright', 'Spencer Treat Clark']","427,986",$95.01M
216,The Conjuring 2,(2016),R,134 min,"Horror, Mystery, Thriller",7.3,65        ,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,['James Wan'],"['Vera Farmiga', 'Patrick Wilson', 'Madison Wolfe', ""Frances O'Connor""]","282,160",$102.47M
217,Sleepy Hollow,(1999),R,105 min,"Fantasy, Horror, Mystery",7.3,65        ,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,['Tim Burton'],"['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon']","370,094",$101.07M
218,The Lincoln Lawyer,(2011),R,118 min,"Crime, Drama, Mystery",7.3,63        ,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,['Brad Furman'],"['Matthew McConaughey', 'Marisa Tomei', 'Ryan Phillippe', 'William H. Macy']","244,597",$58.01M
219,Megamind,(2010),PG,95 min,"Animation, Action, Comedy",7.3,63        ,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",['Tom McGrath'],"['Will Ferrell', 'Jonah Hill', 'Brad Pitt', 'Tina Fey']","276,576",$148.42M
220,The Adventures of Tintin,(2011),PG,107 min,"Animation, Action, Adventure",7.3,68        ,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,['Steven Spielberg'],"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Simon Pegg']","236,775",$77.59M
221,I Origins,(2014),R,106 min,"Drama, Mystery, Romance",7.3,57        ,A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.,['Mike Cahill'],"['Michael Pitt', 'Steven Yeun', 'Astrid Bergès-Frisbey', 'Brit Marling']","129,098",$0.33M
222,The Negotiator,(1998),R,140 min,"Action, Crime, Drama",7.3,62        ,"In a desperate attempt to prove his innocence, a skilled police negotiator accused of corruption and murder takes hostages in a government office to gain the time he needs to find the truth.",['F. Gary Gray'],"['Samuel L. Jackson', 'Kevin Spacey', 'David Morse', 'Ron Rifkin']","148,397",$44.48M
223,Pi,(1998),R,84 min,"Drama, Horror, Mystery",7.3,72        ,A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,['Darren Aronofsky'],"['Sean Gullette', 'Mark Margolis', 'Ben Shenkman', 'Pamela Hart']","182,861",$3.22M
224,Murder by Death,(1976),PG,95 min,"Comedy, Crime, Mystery",7.3,62        ,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.,['Robert Moore'],"['Peter Falk', 'Alec Guinness', 'Peter Sellers', 'Eileen Brennan']","39,759",-
225,The Hidden Face,(2011),R,97 min,"Drama, Horror, Mystery",7.3,-,"Shattered by the unexpected news of their irreversible break-up, an aspiring orchestra conductor is puzzled by his girlfriend's mysterious and seemingly inexplicable case of disappearance. But can he look beyond the facts?",['Andrés Baiz'],"['Quim Gutiérrez', 'Martina García', 'María Soledad Rodríguez', 'Jose Luis Garcia']","44,354",-
226,Suspicion,(1941),Approved,99 min,"Film-Noir, Mystery, Thriller",7.3,83        ,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",['Alfred Hitchcock'],"['Cary Grant', 'Joan Fontaine', 'Cedric Hardwicke', 'Nigel Bruce']","40,334",$4.50M
227,Caché (Hidden),(2005),R,117 min,"Drama, Mystery, Thriller",7.3,86        ,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,['Michael Haneke'],"['Daniel Auteuil', 'Juliette Binoche', 'Maurice Bénichou', 'Annie Girardot']","82,446",$3.63M
228,Bacurau,(2019),Not Rated,131 min,"Action, Adventure, Drama",7.3,82        ,"After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents.","['Juliano Dornelles', 'Kleber Mendonça Filho']","['Bárbara Colen', 'Thomas Aquino', 'Silvero Pereira', 'Thardelly Lima']","29,028",-
229,Ghajini,(2008),Not Rated,186 min,"Action, Drama, Mystery",7.3,-,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,['A.R. Murugadoss'],"['Aamir Khan', 'Asin Thottumkal', 'Jiah Khan', 'Aamir Naik']","64,299",$2.43M
230,The Three Burials of Melquiades Estrada,(2005),R,121 min,"Adventure, Crime, Drama",7.3,77        ,Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.,['Tommy Lee Jones'],"['Tommy Lee Jones', 'Barry Pepper', 'Dwight Yoakam', 'January Jones']","41,267",$5.02M
231,Manhattan Murder Mystery,(1993),PG,104 min,"Comedy, Mystery",7.3,71        ,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,['Woody Allen'],"['Woody Allen', 'Diane Keaton', 'Jerry Adler', 'Lynn Cohen']","45,444",$11.29M
232,The Stranger,(1946),Passed,95 min,"Crime, Drama, Film-Noir",7.3,76        ,An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.,['Orson Welles'],"['Orson Welles', 'Edward G. Robinson', 'Loretta Young', 'Philip Merivale']","27,482",-
233,Where the Crawdads Sing,(2022),PG-13,125 min,"Drama, Mystery, Romance",7.2,43        ,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,['Olivia Newman'],"['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson', 'David Strathairn']","98,533",$90.23M
234,Now You See Me,(I) (2013),PG-13,115 min,"Crime, Mystery, Thriller",7.2,50        ,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",['Louis Leterrier'],"['Jesse Eisenberg', 'Common', 'Mark Ruffalo', 'Woody Harrelson']","679,118",$117.72M
235,The Outfit,(2022),R,105 min,"Crime, Drama, Mystery",7.2,69        ,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,['Graham Moore'],"['Mark Rylance', 'Zoey Deutch', 'John Gumley-Mason', 'Stephen Knox']","53,948",-
236,Insomnia,(2002),R,118 min,"Drama, Mystery, Thriller",7.2,78        ,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,['Christopher Nolan'],"['Al Pacino', 'Robin Williams', 'Hilary Swank', 'Martin Donovan']","303,348",$67.36M
237,Clue,(1985),PG,94 min,"Comedy, Crime, Mystery",7.2,41        ,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",['Jonathan Lynn'],"['Eileen Brennan', 'Tim Curry', 'Madeline Kahn', 'Christopher Lloyd']","102,301",$14.64M
238,Manhunter,(1986),R,120 min,"Crime, Mystery, Thriller",7.2,75        ,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.",['Michael Mann'],"['William Petersen', 'Kim Greist', 'Joan Allen', 'Brian Cox']","76,749",$8.62M
