,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
170,A Bigger Splash,(2015),R,125 min,"Drama, Music, Thriller",6.4,74        ,A famous rock star's vacation in Italy with her boyfriend is disrupted by the unexpected visit of an old friend and his daughter.,['Luca Guadagnino'],"['Tilda Swinton', 'Matthias Schoenaerts', 'Ralph Fiennes', 'Dakota Johnson']","31,514",$1.98M
171,Step Up Revolution,(2012),PG-13,99 min,"Drama, Music, Romance",6.4,43        ,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",['Scott Speer'],"['Kathryn McCormick', 'Ryan Guzman', 'Cleopatra Coleman', 'Misha Gabriel Hamilton']","57,212",$35.07M
172,The Bodyguard,(1992),R,129 min,"Action, Drama, Music",6.3,39        ,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's.",['Mick Jackson'],"['Kevin Costner', 'Whitney Houston', 'Gary Kemp', 'Bill Cobbs']","141,320",$121.95M
173,Freaky Friday,(2003),PG,97 min,"Comedy, Family, Fantasy",6.3,70        ,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",['Mark Waters'],"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould']","144,927",$110.23M
174,Get Him to the Greek,(2010),R,109 min,"Comedy, Music",6.3,65        ,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,['Nicholas Stoller'],"['Jonah Hill', 'Russell Brand', 'Elisabeth Moss', 'Rose Byrne']","182,190",$60.97M
175,Rio 2,(2014),G,101 min,"Animation, Adventure, Comedy",6.3,49        ,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",['Carlos Saldanha'],"['Jesse Eisenberg', 'Anne Hathaway', 'Jemaine Clement', 'Andy Garcia']","95,228",$131.54M
176,Rock Star,(2001),R,105 min,"Drama, Music",6.3,54        ,Lead singer of a tribute band becomes lead singer of the real band he idolizes.,['Stephen Herek'],"['Mark Wahlberg', 'Jennifer Aniston', 'Dominic West', 'Jason Bonham']","44,329",$17.01M
177,Bill & Ted's Bogus Journey,(1991),PG,93 min,"Adventure, Comedy, Fantasy",6.3,60        ,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,['Peter Hewitt'],"['Keanu Reeves', 'Alex Winter', 'William Sadler', 'Joss Ackland']","78,515",$38.04M
178,To Rome with Love,(2012),R,112 min,"Comedy, Music, Romance",6.3,54        ,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",['Woody Allen'],"['Woody Allen', 'Penélope Cruz', 'Jesse Eisenberg', 'Elliot Page']","89,359",$16.69M
179,David Brent: Life on the Road,(2016),Not Rated,96 min,"Comedy, Music",6.3,54        ,"A camera crew catches up with David Brent, the former star of the fictional British TV series The Office (2001), as he now fancies himself a rock star on the road.",['Ricky Gervais'],"['Ricky Gervais', 'Rob Jarvis', 'Abbie Murphy', 'Mandeep Dhillon']","21,330",-
180,Dick Tracy,(1990),PG,105 min,"Action, Comedy, Crime",6.2,68        ,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,['Warren Beatty'],"['Warren Beatty', 'Madonna', 'Al Pacino', 'Charlie Korsmo']","63,813",$103.74M
