,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
123,Don't Breathe,(2016),R,88 min,"Crime, Horror, Thriller",7.1,71        ,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",['Fede Alvarez'],"['Stephen Lang', 'Jane Levy', 'Dylan Minnette', 'Daniel Zovatto']","286,109",$89.22M
124,Prey,(I) (2022),R,100 min,"Action, Adventure, Drama",7.1,71        ,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",['Dan Trachtenberg'],"['Amber Midthunder', 'Dakota Beavers', 'Dane DiLiegro', 'Stormee Kipp']","207,453",-
125,Bone Tomahawk,(2015),Not Rated,132 min,"Drama, Horror, Western",7.1,72        ,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",['S. Craig Zahler'],"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Richard Jenkins']","107,778",-
126,The Mist,(2007),R,126 min,"Horror, Sci-Fi, Thriller",7.1,58        ,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",['Frank Darabont'],"['Thomas Jane', 'Marcia Gay Harden', 'Laurie Holden', 'Andre Braugher']","323,008",$25.59M
127,Blade,(1998),R,120 min,"Action, Horror, Sci-Fi",7.1,47        ,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",['Stephen Norrington'],"['Wesley Snipes', 'Stephen Dorff', 'Kris Kristofferson', ""N'Bushe Wright""]","284,794",$70.09M
128,The Ring,(2002),PG-13,115 min,"Horror, Mystery",7.1,57        ,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,['Gore Verbinski'],"['Naomi Watts', 'Martin Henderson', 'Brian Cox', 'David Dorfman']","360,424",$129.13M
129,Tremors,(1990),PG-13,96 min,"Comedy, Horror",7.1,65        ,Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.,['Ron Underwood'],"['Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross']","143,279",$16.67M
130,The Invisible Man,(I) (2020),R,124 min,"Drama, Horror, Mystery",7.1,72        ,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",['Leigh Whannell'],"['Elisabeth Moss', 'Oliver Jackson-Cohen', 'Harriet Dyer', 'Aldis Hodge']","238,214",$70.41M
131,The Thing from Another World,(1951),Approved,87 min,"Horror, Sci-Fi",7.1,-,Scientists and American Air Force officials fend off a bloodthirsty alien organism while at a remote arctic outpost.,"['Christian Nyby', 'Howard Hawks']","['Kenneth Tobey', 'Margaret Sheridan', 'James Arness', 'Robert Cornthwaite']","31,590",-
132,Little Shop of Horrors,(1986),PG-13,94 min,"Comedy, Horror, Musical",7.1,81        ,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,['Frank Oz'],"['Rick Moranis', 'Ellen Greene', 'Vincent Gardenia', 'Levi Stubbs']","80,600",$38.75M
133,The Call,(2020),TV-MA,112 min,"Crime, Horror, Mystery",7.1,-,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",['Chung-Hyun Lee'],"['Park Shin-Hye', 'Jeon Jong-seo', 'Kim Sung-ryung', 'Lee El']","37,727",-
134,The Frighteners,(1996),R,110 min,"Comedy, Fantasy, Horror",7.1,52        ,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead, and he uses that gift to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.",['Peter Jackson'],"['Michael J. Fox', 'Trini Alvarado', 'Peter Dobson', 'John Astin']","91,893",$16.76M
135,Planet Terror,(2007),R,105 min,"Action, Comedy, Horror",7.1,-,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",['Robert Rodriguez'],"['Rose McGowan', 'Freddy Rodríguez', 'Josh Brolin', 'Marley Shelton']","216,915",-
136,Cube,(1997),R,90 min,"Drama, Horror, Mystery",7.1,61        ,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.,['Vincenzo Natali'],"['Nicole de Boer', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller']","238,789",$0.50M
